,match,time,slot,text,target
29,2,1563.1849,0,fast and furious,0
30,2,1757.5132,0,too fas,0
38,2,2263.9049,4,COMMEND ME TY,0
40,3,128.502,6,CNHD=,0
70,4,92.14417,5,report troll,0
127,6,241.4411,1,fucking reported axe,1
128,6,241.4411,9,why axe is raping me top ,1
129,6,242.5408,8,sorry nex,0
131,6,414.2322,1,WORST HOOK IN HISTORY,0
135,6,631.3792,1,IM THE #1 ROAMER NA,0
143,6,1712.3819,0,passive shadow blade?,0
144,6,2279.1628,2,what is the best soup?,0
147,6,2484.83,1,Ty ty ,0
153,6,2529.2815,1,COMMEND ME!,0
154,6,2531.6227,1,COMMAND ME!!,0
173,8,1747.65726,6,swap commend ty,0
175,8,1794.21256,6,swap commend ty,0
176,9,-60.8518,4,heartshaker,0
181,9,1011.11982,4,man that silence on axe,0
184,9,1016.91832,3,what,0
189,9,1767.16402,3,free farming ls,0
190,9,1769.30452,3,not coming into play,0
196,9,1898.74552,5,CLASH,0
201,9,1926.23912,3,U useless anyways,1
204,9,1934.06582,5,DO I CARE,0
206,9,1940.82222,3,cant seem to hit a singel call,0
214,9,2037.28412,3,better share hero contorl,0
216,9,2042.36812,3,might start hitting ur Q,0
224,9,2052.87052,7,my storm also cry,0
226,9,2058.89102,3,he had an,0
231,9,2077.48772,3,20mins scythe on od,0
234,9,2081.50142,3,wants to farm,0
235,9,2082.70552,3,His orchid,0
282,13,1845.77824,0,ty pudge,0
286,13,1998.76624,1,bastard party,0
335,17,15.96277,2,then dont def? xD,0
397,19,1579.98086,6,3 griefers on my team,0
501,21,1769.42406,9,WELL PLAYED SHIT CUNTS,1
502,22,-44.58912,6,happy no cour day ,0
503,22,-39.32374,1,feed me,0
507,22,-18.46217,1,please dont be a trap,0
509,22,-10.86402,6,only me ,0
511,22,2138.2671,1,EE SAMA IS HERE,0
514,22,2630.0423,0,already since the picking phase,0
529,24,1041.8123,2,for farming a lot,0
535,24,1896.9384,0,this storm,0
547,25,137.833,1,CAUSE FO FUCKING HG,1
559,26,3668.04863,7,why i have juger ,0
563,26,3727.98613,5,u wouldhave hit the throne u jebaited 2k,1
566,26,3739.52543,7,cant beleive we lsoe this ,0
722,30,-27.59326,7,"and please, don't fight, just play and be happy.",0
723,30,-19.06202,1,fuck off lol,1
744,31,3228.39086,3,this game,0
745,31,3230.93286,3,will be a year ender,0
747,31,3526.27216,3,this will be the last game played in 2017,0
749,31,3684.94616,3,happy new year,0
750,31,3685.07986,4,happy new year,0
751,31,3737.29116,9,FCK U,1
753,31,3743.17776,9,my teammates,0
755,31,3744.58256,6,happy new year,0
759,32,191.71987,5,what a luck,0
768,32,1556.02007,9,help report wind ty,0
769,32,1586.07937,9,pasive thrd ,0
770,32,1618.60477,9,4 heros were stick,0
773,32,1686.52147,9,passive heross here,0
775,32,1713.62727,9,me mid me  carry,0
776,32,1716.23607,9,pls pic ksupport,0
778,32,1736.53857,9,help reprt wind,0
788,33,776.76742,9,he is troller,0
789,33,883.47472,9,that team,0
817,36,2398.32843,0,"this is kotl from last game, can you just let us finish?",0
850,38,365.1442,6,ty],0
855,38,1653.1989,5,can't win with wr support and invoker offlane,0
856,38,2427.1686,5,report this invoker,0
867,40,-303.701603,9,fuckign ancients,1
871,40,1528.82673,2,SLOW HAND TINKER,0
877,40,2327.08613,5,WTf?,0
878,40,2420.53773,6,divine for the win,0
900,40,3452.85413,2,it definitely is gg,0
901,40,3454.32583,0,fking clock,1
