,Unnamed: 0,match,time,slot,text,target
0,29,2,1563.1849,0,fast and furious,0.0
1,30,2,1757.5132,0,too fas,0.0
2,38,2,2263.9049,4,COMMEND ME TY,0.0
3,40,3,128.502,6,CNHD=,0.0
4,70,4,92.14417,5,report troll,0.0
5,127,6,241.4411,1,fucking reported axe,2.0
6,128,6,241.4411,9,why axe is raping me top ,2.0
7,129,6,242.5408,8,sorry nex,0.0
8,131,6,414.2322,1,WORST HOOK IN HISTORY,0.0
9,135,6,631.3792,1,IM THE #1 ROAMER NA,0.0
10,143,6,1712.3819,0,passive shadow blade?,0.0
11,144,6,2279.1628,2,what is the best soup?,0.0
12,147,6,2484.83,1,Ty ty ,0.0
13,153,6,2529.2815,1,COMMEND ME!,0.0
14,154,6,2531.6227,1,COMMAND ME!!,0.0
15,173,8,1747.65726,6,swap commend ty,0.0
16,175,8,1794.21256,6,swap commend ty,0.0
17,176,9,-60.8518,4,heartshaker,0.0
18,181,9,1011.11982,4,man that silence on axe,0.0
19,184,9,1016.91832,3,what,0.0
20,189,9,1767.16402,3,free farming ls,0.0
21,190,9,1769.30452,3,not coming into play,0.0
22,196,9,1898.74552,5,CLASH,0.0
23,201,9,1926.23912,3,U useless anyways,2.0
24,204,9,1934.06582,5,DO I CARE,0.0
25,206,9,1940.82222,3,cant seem to hit a singel call,0.0
26,214,9,2037.28412,3,better share hero contorl,0.0
27,216,9,2042.36812,3,might start hitting ur Q,0.0
28,224,9,2052.87052,7,my storm also cry,0.0
29,226,9,2058.89102,3,he had an,0.0
30,231,9,2077.48772,3,20mins scythe on od,0.0
31,234,9,2081.50142,3,wants to farm,0.0
32,235,9,2082.70552,3,His orchid,0.0
33,282,13,1845.77824,0,ty pudge,0.0
34,286,13,1998.76624,1,bastard party,0.0
35,335,17,15.96277,2,then dont def? xD,0.0
36,397,19,1579.98086,6,3 griefers on my team,0.0
37,501,21,1769.42406,9,WELL PLAYED SHIT CUNTS,2.0
38,502,22,-44.58912,6,happy no cour day ,0.0
39,503,22,-39.32374,1,feed me,0.0
40,507,22,-18.46217,1,please dont be a trap,0.0
41,509,22,-10.86402,6,only me ,0.0
42,511,22,2138.2671,1,EE SAMA IS HERE,0.0
43,514,22,2630.0423,0,already since the picking phase,0.0
44,529,24,1041.8123,2,for farming a lot,0.0
45,535,24,1896.9384,0,this storm,0.0
46,547,25,137.833,1,CAUSE FO FUCKING HG,2.0
47,559,26,3668.04863,7,why i have juger ,0.0
48,563,26,3727.98613,5,u wouldhave hit the throne u jebaited 2k,2.0
49,566,26,3739.52543,7,cant beleive we lsoe this ,0.0
50,722,30,-27.59326,7,"and please, don't fight, just play and be happy.",0.0
51,723,30,-19.06202,1,fuck off lol,2.0
52,744,31,3228.39086,3,this game,0.0
53,745,31,3230.93286,3,will be a year ender,0.0
54,747,31,3526.27216,3,this will be the last game played in 2017,0.0
55,749,31,3684.94616,3,happy new year,0.0
56,750,31,3685.07986,4,happy new year,0.0
57,751,31,3737.29116,9,FCK U,2.0
58,753,31,3743.17776,9,my teammates,0.0
59,755,31,3744.58256,6,happy new year,0.0
60,759,32,191.71987,5,what a luck,0.0
61,768,32,1556.02007,9,help report wind ty,0.0
62,769,32,1586.07937,9,pasive thrd ,0.0
63,770,32,1618.60477,9,4 heros were stick,0.0
64,773,32,1686.52147,9,passive heross here,0.0
65,775,32,1713.62727,9,me mid me  carry,0.0
66,776,32,1716.23607,9,pls pic ksupport,0.0
67,778,32,1736.53857,9,help reprt wind,0.0
68,788,33,776.76742,9,he is troller,0.0
69,789,33,883.47472,9,that team,0.0
70,817,36,2398.32843,0,"this is kotl from last game, can you just let us finish?",0.0
71,850,38,365.1442,6,ty],0.0
72,855,38,1653.1989,5,can't win with wr support and invoker offlane,0.0
73,856,38,2427.1686,5,report this invoker,0.0
74,867,40,-303.701603,9,fuckign ancients,2.0
75,871,40,1528.82673,2,SLOW HAND TINKER,0.0
76,877,40,2327.08613,5,WTf?,0.0
77,878,40,2420.53773,6,divine for the win,0.0
78,900,40,3452.85413,2,it definitely is gg,0.0
79,901,40,3454.32583,0,fking clock,2.0
80,905,40,3471.11633,6,just erport this jugg,0.0
81,909,40,3481.15053,3,counter more,0.0
82,920,40,3569.85273,3,counter more,0.0
83,945,43,-131.21776,4,come on try harder,0.0
84,946,43,456.05534,3,what's happening boyz ?,0.0
85,949,43,456.05534,8,he will ,0.0
86,952,43,456.05534,3,as you can see we are waiting ,0.0
87,954,43,456.05534,3,I am just asking what happened,0.0
88,955,43,456.05534,4,and we wait 5 for now ,0.0
89,961,43,456.05534,3,how many more x3 mins do we have to wait,0.0
90,967,43,456.05534,3,you don't know how time works,0.0
91,969,43,456.05534,4,guys i think we wait too much ,0.0
92,971,43,456.05534,4,i know its your fr but ,0.0
93,975,43,456.05534,3,you will have more gold if he leaves,0.0
94,981,43,496.3122,6,Dat was lucky,0.0
95,986,43,722.1903,6,that was more lucky than ur kill 😂:D,0.0
96,987,43,723.1901,3,now you are lucky,0.0
97,994,43,930.2729,6,u see this fair ?,0.0
98,1007,45,775.64397,8,report sf and lycan,0.0
99,1008,45,803.70377,8,retard take lycan for hard ,2.0
100,1009,45,818.30017,8,second rtard lose lane with help,2.0
